Congruent,Incongruent,差值样本,样本均值差,差值样本标准差
12.369,34.288,-21.919,,
18.2,35.255,-17.055,,
14.48,26.282,-11.802,,
9.564,21.214,-11.65,,
9.401,20.762,-11.361,,
12.944,23.894,-10.95,,
12.13,22.158,-10.028,,
14.692,24.572,-9.88,,
10.639,20.429,-9.79,,
12.238,20.878,-8.64,,
8.987,17.394,-8.407,,
14.669,22.803,-8.134,,
12.079,19.278,-7.199,-7.964791667,4.86482691
8.63,15.687,-7.057,,
18.495,25.139,-6.644,,
11.344,17.425,-6.081,,
16.004,21.157,-5.153,,
14.233,17.96,-3.727,,
16.929,20.33,-3.401,,
15.298,18.644,-3.346,,
15.073,17.51,-2.437,,
19.71,22.058,-2.348,,
22.328,24.524,-2.196,,
16.791,18.741,-1.95,,
,,,,
14.051125,22.01591667,,,
